parking_spot_id,host_id,title,description,address,latitude,longitude,suburb,spot_size,access_type,price_per_hour,availability_calendar,height_restriction
1,26,Decentralized neutral toolset,"Safe weight give I. Church generation happen agency memory democratic skill character.
Affect he billion all speech here. Want car door.","756 Stephanie Crossing Apt. 669
Xavierland, SC 34056",40.4927091,-141.5820366,West Jesse,large,street,12.87,"23:21:49, 2024-02-13 to 00:21:49, 2024-02-14",
2,10,Horizontal client-driven middleware,"Clearly father there human. Fast drop be include. Recently simple improve he American.
Thought fear side it others something. Especially tend hundred as she military.","7650 Cochran Causeway Suite 954
Lake Victoria, OH 63144",-45.947235,-9.0659227,Lake Micheleton,standard,garage,12.96,"12:01:46, 2024-01-22 to 14:01:46, 2024-01-22",
3,99,Horizontal disintermediate throughput,Our race live put opportunity moment center. Trip rock official account. Shake while ten whole wall rest.,"885 Andersen Lane Suite 590
Sherrytown, ND 16262",68.619647,-27.3577329,Lake Mistyborough,large,driveway,7.87,"15:27:37, 2024-06-27 to 19:27:37, 2024-06-27",1.8
4,85,Re-contextualized asynchronous access,"Medical movement character bring. Yes teach when form second. Perform before today southern decision.
Thank big once turn social speech. Throughout issue game subject cover none.","88572 Phillip Views
West Heather, IA 86698",6.2425872,149.5402609,Jesusmouth,large,garage,4.55,"20:21:46, 2024-06-18 to 03:21:46, 2024-06-19",
5,34,Advanced multi-state archive,Play power risk yet or never. Artist represent like door reflect. Through approach structure. Energy season nature our camera perform mission.,"819 Andrew Shore Apt. 648
Torresstad, CA 35343",72.0875335,-153.4209555,North Heidiside,standard,garage,14.12,"20:29:23, 2024-06-17 to 06:29:23, 2024-06-18",
6,69,Integrated real-time knowledge user,Vote market suddenly woman. Require successful plan choose happen. Against develop become body study who up break.,"367 Munoz Meadow Apt. 815
Davidfurt, VA 63889",-80.3427186,153.2699929,New Tonya,standard,street,7.91,"02:30:47, 2024-05-03 to 13:30:47, 2024-05-03",
7,41,Ameliorated leadingedge knowledge user,"Enjoy forget thank national sure scientist gun. Agree can deep. Huge property beyond ready.
Probably age hard save find against dark. Use can total eye hair pattern.","664 Craig Squares
North Pamela, MO 59876",20.1263538,114.0744915,Litown,large,garage,7.37,"01:45:52, 2024-02-18 to 02:45:52, 2024-02-18",
8,23,Fundamental directional firmware,"Finally himself rise with sort avoid stock. Cost moment record keep sister. More better throughout off.
Listen reality sister administration trip realize ok.","312 Melinda Meadows
Lake Jacquelineborough, MI 51911",-28.0428101,-112.4419655,North Kellybury,compact,street,4.86,"10:54:52, 2024-06-14 to 16:54:52, 2024-06-14",
9,40,Secured composite website,"Edge lead agency hour. Management safe office best.
Among war sing effort matter list.","Unit 6537 Box 9007
DPO AA 61843",74.1923052,33.3804802,East Lesliechester,standard,gated,7.04,"21:31:21, 2024-01-18 to 02:31:21, 2024-01-19",
10,15,De-engineered impactful open system,"Own back room system doctor oil quite major. Need but address must beat shoulder end age.
Environmental civil collection. You son firm value. Consumer piece each draw green.","502 Klein Roads Suite 833
Christophermouth, TX 15990",-4.0597521,-162.3861444,Port Tammy,standard,garage,3.73,"04:59:46, 2024-04-14 to 09:59:46, 2024-04-14",2.35
